Month,AdvertisingSpend,EconomicIndex,CompetitorDiscount,Season,Sales
1,9000,68,7,Winter,140
2,9500,70,6,Winter,150
3,11000,72,5,Spring,190
4,13000,74,4,Spring,220
5,15000,76,3,Spring,260
6,16000,78,3,Summer,310
7,17000,80,2,Summer,360
8,17500,82,2,Summer,380
9,16000,78,4,Fall,300
10,18000,80,3,Fall,320
11,20000,82,2,Fall,340
12,22000,85,1,Winter,420
13,23000,86,1,Winter,430
14,24000,88,1,Winter,440
15,25000,90,2,Winter,445
16,26000,92,3,Winter,450
17,27000,94,4,Winter,452
18,28000,95,5,Winter,455
19,15000,60,10,Recession,120
20,16000,62,9,Recession,130
21,17000,64,8,Recession,135
22,18000,66,7,Recession,150
23,19000,68,6,Recession,160
24,20000,70,5,Recession,170
25,21000,72,4,Recession,175
26,22000,74,3,Recovery,240
27,23000,76,2,Recovery,300
28,24000,78,2,Recovery,360
29,25000,80,1,Recovery,420
30,26000,82,1,Recovery,460
